type,name,notice,furigana,
資源,ゴルフ用品,,こ,
資源,コンロ,,こ,
資源,サッシ,自己施工のみ,さ,
資源,雑誌,,さ,
資源,殺虫剤の缶（金属製）,使い切って穴を開ける,さ,
資源,殺虫剤の缶（金属製）,使い切ること,さ,
資源,さびた缶,,さ,
資源,さびた金属,,さ,
資源,サマーベッド,パイプとシートは分けなくてよい,さ,
資源,皿,,さ,
資源,ざる,,さ,
資源,三角コーナー,,さ,
資源,三脚,,さ,
資源,三輪車,「資源品」と表示する,し,
資源,シーツ,,し,
資源,磁石,,し,
資源,下着,,し,
資源,支柱,,し,
資源,辞典、辞書,ビニールカバーは外す,し,
資源,自転車,サドルに「資源品」と表示する,し,
資源,自転車,サドルに「資源品」と表示する/バッテリーは外して「有害ごみ」（車のバッテリーのように液が入っているものは不可）,し,
資源,自転車部品,スチール製かご、リム、スポーク等,し,
資源,芝刈り機,,し,
資源,芝刈り機,燃料は抜くか使い切る,し,
資源,事務用椅子,座るところは金属でなくても可,し,
資源,シャベル,,し,
資源,ジャンパー,,し,
資源,収納ケース,,し,
資源,収納ケース,,し,
資源,瞬間湯沸器,自己施工のみ,し,
資源,定規,,し,
資源,焼却炉,3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,し,
資源,浄水器のカートリッジ,カートリッジの本体周りがアルミ製であること,し,
資源,じょうろ,,し,
資源,しょう油のプラスチックボトル,,し,
資源,食器,,し,
資源,新聞紙（折込広告を含む）,,し,
資源,水筒,,す,
資源,炊飯器,,す,
資源,炊飯器の内釜,,す,
資源,スカーフ,,す,
資源,スキー用品,,す,
資源,スクリーン,ケースや軸が金属製のもの,す,
資源,スケール,,す,
資源,スケッチブック,使用済みのものは「可燃ごみ」,す,
資源,スコップ,,す,
資源,スチール机,3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,す,
資源,スチール物置,3メートル、30キログラムを超えるものは資源組合で直接回収?電話番号04-7131-1040,す,
資源,ストーブ（電気、ガス、石油とも）,灯油は抜くか使い切る/乾電池は取り外して「有害ごみ」,す,
資源,ストッキング,,す,
資源,スパナ,,す,
資源,スプーン,柄が金属でなくても可,す,
資源,スプレー缶,使い切り穴を開ける,す,
資源,滑り台,3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,す,
資源,製図台,3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,せ,
資源,石油缶,中は空にする,せ,
資源,石油ストーブ,灯油は抜くか使い切る,せ,
資源,石油ファンヒーター,灯油は抜くか使い切る,せ,
資源,接着剤の容器,中は空にする,せ,
資源,洗濯物干し,枠に洗濯ばさみの付いているもの,せ,
資源,栓抜き,,せ,
資源,洗面器,,せ,
資源,台車,「資源品」と表示する,た,
資源,体重計,外側がプラスチックでも可,た,
資源,タイプライター,バラバラにならないようにする,た,
資源,タイヤチェーン,,た,
資源,タイヤホイール,個人で取り替えた場合に限る,た,
資源,タオル＝タオルケット,ペット使用のものは「ペット使用」と表示し「不燃ごみ」,た,
資源,高枝バサミ,危なくないよう刃先を紙で包む,た,
資源,足袋,,た,
資源,玉じゃくし,柄が金属でなくても可,た,
資源,たらい,,た,
資源,たんぜん,,た,
資源,ダンベル,,た,
資源,段ボール,,た,
資源,中華なべ,,ち,
資源,チューブ製容器（金属製）,中身を使い切る,ち,
資源,彫刻刀,危なくないように刃先を紙でくるむ,ち,
資源,ちらし（新聞折込）,,ち,
資源,机,3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,つ,
資源,机,木製で1辺1.2メートル未満なら「不燃ごみ」,つ,
資源,爪きり,,つ,
資源,テーブルクロス,,て,
資源,鉄アレイ,,て,
資源,テニス用品,,て,
資源,手袋,,て,
資源,テフロン加工の鍋,,て,
資源,電気ストーブ,,て,
資源,電気ヒーター,,て,
資源,電磁調理器,,て,
資源,電子レンジ,耐熱ガラスやセラミック製の皿は「不燃ごみ」,て,
資源,電子レンジ台,,て,
資源,電動自転車,サドルに「資源品」と表示する/バッテリーは外して「有害ごみ」（車のバッテリーのように液が入っているものは不可）,て,
資源,電話帳,またはＮＴＴが引き取り,て,
資源,ドアノブ,,と,
資源,トイレットペーパーの芯,,と,
資源,トースター,,と,
資源,ドライバー（工具）,,と,
資源,ドライバー（ゴルフクラブ）,,と,
資源,ドラム缶,自宅で使用していたものに限る,と,
資源,トランポリン（家庭用遊具）,フレームが金属製のもの,と,
資源,ドリンク剤のびん,,と,
資源,ドレッシングの容器,中を軽くすすぐ,と,
資源,ドレッシングの容器,中を軽くすすぐ,と,
資源,とんかち,,と,
資源,ナイフ,危なくないよう刃先をくるむ,な,
資源,鍋（テフロン加工、ホウロウ鍋含む）,,な,
資源,波板,長さ3メートル以下にする,な,
資源,ネクタイ,,ね,
資源,農機具類,危なくないように刃先を紙でくるむ,の,
資源,農機具類,30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,の,
資源,ノート,針金でらせん状に綴じたものも可,の,
資源,のこぎり（糸のこぎりを含む）,危なくないように刃先を紙でくるむ,の,
資源,飲み薬のビン,,の,
資源,ハーモニカ,,は,
資源,バーベキューセット,,は,
資源,パイプ椅子,クッション部はそのままでよい,は,
資源,パイプベッド,2つ折タイプであればスプリングなしマットレスや板が外せなくてもそのままで可,は,
資源,はがき,,は,
資源,バケツ,,は,
資源,箱,たたんでひもで束ねる,は,
資源,箱,たたんでひもで束ねる,は,
資源,はさみ,危なくないよう刃先を紙でくるむ,は,
資源,はしご,,は,
資源,バスタオル,,は,
資源,パソコンチェア,座るところは金属でなくても可,は,
資源,パソコンデスク,木製で1辺1.2メートル未満なら「不燃ごみ」,は,
資源,パター（ゴルフクラブ）,,は,
資源,バターナイフ,柄は金属でなくても可,は,
資源,バット,,は,
資源,花ばさみ,危なくないように刃先を紙でくるむ,は,
資源,歯磨きチューブ,中身を使い切る,は,
資源,刃物,危なくないように刃先を紙でくるむ,は,
資源,針,紙に包んで中味を明記する,は,
資源,針金,ビニールコーティングされていても可,は,
資源,針金ハンガー,ビニールコーティングされていても可/空カン回収袋には入れない,は,
資源,バルサン（殺虫剤）,中身を使い切る,は,
資源,ハンガー,ビニールコーティングされていても可/空カン回収袋には入れない,は,
資源,ハンカチ,,は,
資源,バンパー,個人で取り替えたもののみ,は,
資源,ハンマー,,は,
資源,ＢＳアンテナ,,ひ,
資源,ひげそり,危なくないよう刃先をくるむ,ひ,
資源,百科事典,,ひ,
資源,ビン,割れていても可/中はきれいにする,ひ,
資源,ビン,割れていても可/中はきれいにする,ひ,
資源,ビンのふた,,ひ,
資源,便箋,,ひ,
資源,ファンヒーター,灯油は抜くか使い切る/乾電池は取り外して「有害ごみ」,ふ,
資源,封筒,窓空き封筒のセロファンははがすはがせなければ「可燃ごみ」,ふ,
資源,風鈴,,ふ,
資源,フォーク,,ふ,
資源,布団カバー,,ふ,
資源,布団袋,,ふ,
資源,フライ返し,柄が金属でなくても可,ふ,
資源,フライパン,テフロン加工のものも可,ふ,
資源,ブラインド,糸はそのままでよい,ふ,
資源,ぶら下がり健康器,,ふ,
資源,ブランコ,,ふ,
資源,ブリキ製品（板、おもちゃなど）,,ふ,
資源,風呂敷,,ふ,
資源,風呂用品,30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,ふ,
資源,ブロンズ像,,ふ,
資源,文鎮,,ふ,
資源,ベッド,2つ折タイプであればスプリングなしマットレスや板が外せなくてもそのままで可,へ,
資源,PETボトル(ペットボトル),マークのあるもののみ,へ,
資源,ベビー椅子,座るところは金属でなくても可,へ,
資源,ベビーカー,,へ,
資源,ヘルスメーター,外側がプラスチックでも可,へ,
資源,ペンキの缶,中味を出し切る/少量の付着は可,へ,
資源,ベンチ,3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,へ,
資源,ペンチ,,へ,
資源,弁当箱,,へ,
資源,ボアシーツ,,ほ,
資源,ホイル（アルミ箔）（きれいなもの）,汚れたものは「可燃ごみ」,ほ,
資源,ホイール（車用）,,ほ,
資源,帽子,,ほ,
資源,革製,,ほ,
資源,包装紙,金・銀紙は「可燃ごみ」,ほ,
資源,包丁,危なくないように刃先を紙でくるむ,ほ,
資源,ボウル,,ほ,
資源,ポータブルミシン,プラスチック製のカバーは「不燃ごみ」,ほ,
資源,ボール紙,,ほ,
資源,ホウロウ鍋,,ほ,
資源,ホッチキス,,ほ,
資源,ポテトチップスの容器（紙筒で底が金属）,,ほ,
資源,本（単行本、文庫本とも）,,ほ,
資源,本棚,,ほ,
資源,ポンプ(井戸用等金属製）,自己施工のみ,ほ,
資源,ボンベ缶（カセットコンロ用）,使い切って穴を開ける,ほ,
資源,マイク,乾電池は取り外して「有害ごみ」,ま,
資源,マグネット,,ま,
資源,窓枠,自己施工のみ,ま,
資源,マフラー（えりまき）,,ま,
資源,ミシン,プラスチック製のカバー（ふた）は「不燃ごみ」,み,
資源,水着,,み,
資源,水切りかご,,み,
資源,ミニカー,,み,
資源,ムートン,,む,
資源,虫かご,,む,
資源,蒸し器,,む,
資源,名刺,,め,
資源,メモ用紙,,め,
資源,毛布,ペットが使用したものは「ペット使用」と表示し「不燃ごみ」,も,
資源,物置（金属製）,できるだけ解体する/3メートル、30キログラムを超えるものは資源組合で直接回収電話番号04-7131-1040,も,
資源,物干し竿,長さ3メートル以下にする,も,
資源,やかん,,や,
資源,浴衣,,ゆ,
資源,湯たんぽ,,ゆ,
資源,ユニフォーム,,ゆ,
資源,湯沸し器,,ゆ,
資源,浴槽,30キログラムを超えるものは資源組合で直接回収?電話番号04-7131-1040,よ,
資源,リール,,り,
資源,リヤカー,「資源品」と表示する,り,
資源,ルームランナー,,る,
資源,レインコート,,れ,
資源,レース（テーブルクロス、カーテン等）,,れ,
資源,レコードジャケット,ビニールコーティングされてるものは「可燃ごみ」,れ,
資源,レザーの衣類,,れ,
資源,レザーコート,,れ,
資源,レザージャケット,,れ,
資源,レザーパンツ,,れ,
資源,レシート,感熱紙は「可燃ごみ」,れ,
資源,レンジ台,,れ,
資源,和紙,糸の入っていないもの,わ,
資源,和服,,わ,
資源,ワンカップ酒のビン,,わ,
燃やさないゴミ,アイロン,本体が金属製のものは「資源品（金属類）」,あ,
燃やさないゴミ,アイロン台,,あ,
燃やさないゴミ,空き箱,1辺1.2メートル以上は「粗大ごみ」,あ,
燃やさないゴミ,アコーディオンカーテン,,あ,
燃やさないゴミ,その他の材質,,あ,
燃やさないゴミ,アダプター,,あ,
燃やさないゴミ,油絵,,あ,
燃やさないゴミ,雨合羽（ビニール製）,,あ,
燃やさないゴミ,雨戸（1?2枚）,1.8メートル×0.9メートル程度の大きさで自己施工のもの,あ,
燃やさないゴミ,網,1辺1.2メートル未満にたたむ,あ,
燃やさないゴミ,網戸,網つきでも網なしでもよい／1.8メートル×0.9メートルの大きさまで可,あ,
燃やさないゴミ,網戸（網部分のみ）,1辺1.2メートル未満にたたむ,あ,
燃やさないゴミ,編み針・編み棒,,あ,
燃やさないゴミ,アルバム,,あ,
燃やさないゴミ,アルミサッシ,自己施工のみ,あ,
燃やさないゴミ,ガラス付アルミ枠,自己施工のみ,あ,
燃やさないゴミ,泡立て器,,あ,
燃やさないゴミ,あんか,,あ,
燃やさないゴミ,安全剃刀,,あ,
燃やさないゴミ,アンテナケーブル,,あ,
燃やさないゴミ,アンプ,,あ,
燃やさないゴミ,いぐさ,畳おもてのようなもの,い,
燃やさないゴミ,衣装ケース,,い,
燃やさないゴミ,衣装ケース,,い,
燃やさないゴミ,板,1辺1.2メートル未満にする,い,
燃やさないゴミ,板ガラス,ガラス面の対角線をガムテープ等で×に貼る,い,
燃やさないゴミ,犬小屋（プラスチック製、木製とも）,1辺1.2メートル以上のものは「粗大ごみ」,い,
燃やさないゴミ,衣類カバー,,い,
燃やさないゴミ,入れ歯,,い,
燃やさないゴミ,インクカートリッジ,できるだけ電器店の回収箱へ,い,
燃やさないゴミ,インクリボン（プリンタ用）,できるだけ電器店の回収箱へ,い,
燃やさないゴミ,インターホン,,い,
燃やさないゴミ,美容師の練習用マネキン,,う,
燃やさないゴミ,植木,,う,
燃やさないゴミ,植木鉢,,う,
燃やさないゴミ,ウエストポーチ,,う,
燃やさないゴミ,ウエットスーツ,,う,
燃やさないゴミ,浮き輪,,う,
燃やさないゴミ,ウッドカーペット,まるめず1.2メートル未満に折りたたむ,う,
燃やさないゴミ,腕時計,,う,
燃やさないゴミ,乳母車,,う,
燃やさないゴミ,梅酒ビン,自家製の梅酒を作るための広口ビン,う,
燃やさないゴミ,ウレタン,,う,
燃やさないゴミ,ウレタンマット,カバーはあってもなくてもよい,う,
燃やさないゴミ,運動靴,,う,
燃やさないゴミ,映写機,,え,
燃やさないゴミ,ＡＶ機器,,え,
燃やさないゴミ,メートルＯ,,え,
燃やさないゴミ,メートルＤ,,え,
燃やさないゴミ,メートルＤプレーヤー,,え,
燃やさないゴミ,ＬＤ,,え,
燃やさないゴミ,ＬＤプレーヤー,,え,
燃やさないゴミ,エレキギター,,え,
燃やさないゴミ,延長コード,,え,
燃やさないゴミ,鉛筆削り器,電動でも手動でも小型でもすべて,え,
燃やさないゴミ,オーディオ機器（プレーヤー、スピーカー等）,,お,
燃やさないゴミ,桶,,お,
燃やさないゴミ,おたま,,お,
燃やさないゴミ,落ち葉,,お,
燃やさないゴミ,おひつ,,お,
燃やさないゴミ,オペラグラス,,お,
燃やさないゴミ,おまる,中は水洗いする,お,
燃やさないゴミ,おもちゃ,,お,
燃やさないゴミ,おろしがね,,お,
燃やさないゴミ,温度計,赤い液体は油のため処理に影響なし,お,
燃やさないゴミ,カーテンレール,長さ1.2メートル未満に折るか切る,か,
燃やさないゴミ,カード,磁気部分にはさみを入れる,か,
燃やさないゴミ,カーナビ,,か,
燃やさないゴミ,カーペット（電気カーペットを含む）,長さ1.2メートル未満にたたむ,か,
燃やさないゴミ,カーボンヒーター,,か,
燃やさないゴミ,懐中電灯,電池は抜いて「有害ごみ」で出す,か,
燃やさないゴミ,鏡,大きいものは鏡面の対角線をガムテープ等で×に貼る,か,
燃やさないゴミ,家具,,か,
燃やさないゴミ,角材,長さ1メートル未満なら太さ10センチメートル程度のものまで出せる,か,
燃やさないゴミ,学習机のたな,1辺1.2メートル未満のもの,か,
燃やさないゴミ,額縁,木製でガラスがなく指定ごみ袋に入る大きさなら「可燃ごみ」,か,
燃やさないゴミ,掛け軸,紙だけなら「可燃ごみ」,か,
燃やさないゴミ,傘,骨だけであれば「資源品（金属類）」,か,
燃やさないゴミ,傘,,か,
燃やさないゴミ,加湿器,フィルターも「不燃ごみ」,か,
燃やさないゴミ,果実酒ビン,,か,
燃やさないゴミ,カセットデッキ,,か,
燃やさないゴミ,カッターナイフ,,か,
燃やさないゴミ,合羽（ビニール製）,,か,
燃やさないゴミ,門松,1辺1.2メートル未満のもの,か,
燃やさないゴミ,カバー（ナイロンシート状のもの）,,か,
燃やさないゴミ,鞄,,か,
燃やさないゴミ,花瓶,,か,
燃やさないゴミ,壁紙（ビニールクロス）,自己施工のみ/レジ袋で5袋程度までは排出可/それ以上は北部クリーンセンターに直接搬入,か,
燃やさないゴミ,剃刀,,か,
燃やさないゴミ,剃刀,,か,
燃やさないゴミ,紙筒,指定袋に入らないもの,か,
燃やさないゴミ,かめのこたわし,,か,
燃やさないゴミ,カメラ,,か,
燃やさないゴミ,カメラネガフィルム,,か,
燃やさないゴミ,カメラフィルム（現像前・現像後とも）,,か,
燃やさないゴミ,蚊帳,1辺1.2メートル未満にたたむ,か,
燃やさないゴミ,カラーボックス,できるだけ分解する,か,
燃やさないゴミ,カラスネット,,か,
燃やさないゴミ,ガラス（板ガラス、ガラス製品）,ガラス面の対角線をガムテープ等で×に貼る,か,
燃やさないゴミ,ガラス製品,,か,
燃やさないゴミ,ガラステーブル,1辺1.2メートル以上のものは「粗大ごみ」,か,
燃やさないゴミ,ガラス戸,,か,
燃やさないゴミ,ガラス戸,,か,
燃やさないゴミ,枯れ葉,,か,
燃やさないゴミ,革靴,,か,
燃やさないゴミ,革製品（衣服・手袋・帽子以外）,,か,
燃やさないゴミ,換気扇,,か,
燃やさないゴミ,換気扇フィルター,油がついて汚れていても可,か,
燃やさないゴミ,乾燥機,,か,
燃やさないゴミ,乾燥機,,か,
燃やさないゴミ,キーボード（楽器）,1辺1.2メートル以上のものは「粗大ごみ」,き,
燃やさないゴミ,キーボード（パソコンの付属品）,,き,
燃やさないゴミ,キーホルダー,,き,
燃やさないゴミ,着せ替え人形,,き,
燃やさないゴミ,ギター,,き,
燃やさないゴミ,木づち,,き,
燃やさないゴミ,キッチンマット,,き,
燃やさないゴミ,木の枝,,き,
燃やさないゴミ,木箱,1辺1.2メートル以上のものは「粗大ごみ」,き,
燃やさないゴミ,脚立,長さ1.2メートル未満にする,き,
燃やさないゴミ,キャッシュカード,磁気部分にはさみを入れる,き,
燃やさないゴミ,キャンバス（油絵）,,き,
燃やさないゴミ,キャンプ用品,テントや車などの横に張る日除け,き,
燃やさないゴミ,キャンプ用品,天板がプラ製・木製のものは「不燃ごみ」/天板を含むすべてがアルミ製なら「資源品（金属類）」,き,
燃やさないゴミ,キャンプ用品,金属製のパイプ部分は「資源品（金属類）」,き,
燃やさないゴミ,キャンプ用品,,き,
燃やさないゴミ,キャンプ用品,燃料は抜くか使い切る,き,
燃やさないゴミ,急須,,き,
燃やさないゴミ,鏡台（鏡部が分離するもの）,分離しなければ「粗大ごみ」,き,
燃やさないゴミ,キルティングマット,,き,
燃やさないゴミ,木枠,1辺1.2メートル以上のものは「粗大ごみ」,き,
燃やさないゴミ,金魚鉢,,き,
燃やさないゴミ,空気入れ,,く,
燃やさないゴミ,空気清浄機,,く,
燃やさないゴミ,クーラーボックス,,く,
燃やさないゴミ,草,できるだけ乾かす,く,
燃やさないゴミ,くさり,,く,
燃やさないゴミ,櫛,,く,
燃やさないゴミ,薬のビン,,く,
燃やさないゴミ,口紅ケース,,く,
燃やさないゴミ,靴,,く,
燃やさないゴミ,クッション(綿以外）,中身が綿なら「粗大ごみ（座布団）」,く,
燃やさないゴミ,熊手,,く,
燃やさないゴミ,クリアファイル,,く,
燃やさないゴミ,クリスタルガラス,,く,
燃やさないゴミ,クリスマスツリー,長さ1.2メートル未満にする,く,
燃やさないゴミ,車のシートカバー,,く,
燃やさないゴミ,クレジットカード,磁気部分にはさみを入れる,く,
燃やさないゴミ,グローブ,,く,
燃やさないゴミ,グローランプ,,く,
燃やさないゴミ,携帯テレビ（液晶）,,け,
燃やさないゴミ,携帯電話,できるだけ解約時に返却する,け,
燃やさないゴミ,携帯電話（充電器）,できるだけ解約時に返却する,け,
燃やさないゴミ,ケーブル,,け,
燃やさないゴミ,ゲーム（ボードゲーム等）,,け,
燃やさないゴミ,ゲームカセット,,け,
燃やさないゴミ,ゲーム機,,け,
燃やさないゴミ,消しゴム,,け,
燃やさないゴミ,化粧品（化粧水などのビン）,,け,
燃やさないゴミ,化粧品（口紅ケース）,,け,
燃やさないゴミ,化粧品（ファンデーションケース）,,け,
燃やさないゴミ,化粧品（マニュキアのビン）,,け,
燃やさないゴミ,下駄,,け,
燃やさないゴミ,下駄箱,1辺1.2メートル以上のものは「粗大ごみ」,け,
燃やさないゴミ,血圧計,,け,
燃やさないゴミ,玄関マット,,け,
燃やさないゴミ,碁石,,こ,
燃やさないゴミ,こいのぼり,,こ,
燃やさないゴミ,こいのぼり,長さ1.2メートル未満にする,こ,
燃やさないゴミ,ゴーグル,,こ,
燃やさないゴミ,コード,,こ,
燃やさないゴミ,コーヒーメーカー,,こ,
燃やさないゴミ,行李（柳行李など；衣装ケース）,1辺1.2メートル以上のものは「粗大ごみ」,こ,
燃やさないゴミ,氷枕,,こ,
燃やさないゴミ,五月人形,,こ,
燃やさないゴミ,ござ,長さ1.2メートル未満にたたむ,こ,
燃やさないゴミ,こたつ,,こ,
燃やさないゴミ,こたつ敷き,長さ1.2メートル未満にたたむ,こ,
燃やさないゴミ,コップ,,こ,
燃やさないゴミ,コップ,,こ,
燃やさないゴミ,コネクタ,,こ,
燃やさないゴミ,コピー機,,こ,
燃やさないゴミ,ゴム製品,,こ,
燃やさないゴミ,ゴム手袋,,こ,
燃やさないゴミ,ゴムホース,,こ,
燃やさないゴミ,ゴムマット,,こ,
燃やさないゴミ,コルクボード,指定袋に入る大きさならば「可燃ごみ」,こ,
燃やさないゴミ,ゴルフ用品,,こ,
燃やさないゴミ,ゴルフ用品,,こ,
燃やさないゴミ,ゴルフ用品,,こ,
燃やさないゴミ,コンポ,,こ,
燃やさないゴミ,コンポスト,,こ,
燃やさないゴミ,コンセント,,こ,
燃やさないゴミ,サーフボード,,さ,
燃やさないゴミ,座椅子,,さ,
燃やさないゴミ,サイドボード,1辺1.2メートル以上のものは「粗大ごみ」,さ,
燃やさないゴミ,座卓,1辺1.2メートル以上のものは「粗大ごみ」,さ,
燃やさないゴミ,サッカーボール,,さ,
燃やさないゴミ,サッシ,自己施工のみ,さ,
燃やさないゴミ,サッシ,自己施工のみ,さ,
燃やさないゴミ,殺虫剤のビン,中は空にする,さ,
燃やさないゴミ,皿,,さ,
燃やさないゴミ,皿,,さ,
燃やさないゴミ,皿,,さ,
燃やさないゴミ,ざる,,さ,
燃やさないゴミ,三角コーナー,,さ,
燃やさないゴミ,三脚,,さ,
燃やさないゴミ,サングラス,,し,
燃やさないゴミ,サンダル,,し,
燃やさないゴミ,サンバイザー,,し,
燃やさないゴミ,三輪車,「不燃ごみ」と表示する,し,
燃やさないゴミ,飼育小屋,1辺1.2メートル以上のものは「粗大ごみ」,し,
燃やさないゴミ,CD,,し,
燃やさないゴミ,ＣＤケース,,し,
燃やさないゴミ,CDラジカセ,,し,
燃やさないゴミ,CDプレーヤー,,し,
燃やさないゴミ,シートカバー（自動車用）,,し,
