空気入れ,金属製,資源品（金属類）（空カン用袋）,
空気入れ,プラスチック製,不燃ごみ,,
空気清浄機,,不燃ごみ,
クーラー,,収集できないごみ,家電リサイクル法に基づいて処理→処理方法を調べる
クーラーボックス,,不燃ごみ,
釘,,資源品（金属類）（空カン用袋）,紙に包んで中身を明記する
釘抜き,,資源品（金属類）（空カン用袋）,
草,,不燃ごみ,できるだけ乾かす
草刈り鎌,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
草刈り機,,資源品（金属類）,燃料は抜くか使い切る
くさり,金属製,資源品（金属類）（空カン用袋）,
くさり,プラスチック製,不燃ごみ,,
串,金属製,資源品（金属類）（空カン用袋）,危なくないよう刃先をくるむ
串,竹製,可燃ごみ,危なくないよう先を折るか包む,
櫛,竹製,可燃ごみ,
櫛,プラスチック製,不燃ごみ,,
薬のシート,,容器包装プラスチック類,
薬のビン,飲み薬,資源品（空ビン類）,
薬のビン,飲み薬以外の薬品,不燃ごみ,,
果物ナイフ,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
口紅ケース,,不燃ごみ,
靴,,不燃ごみ,
靴下,,資源品（古着・古布類）,
クッション(綿以外）,,不燃ごみ,中身が綿なら「粗大ごみ（座布団）」
熊手,金属製,資源ごみ（金属製）,
熊手,プラスチック製,不燃ごみ,,
クリアファイル,,不燃ごみ,
クリーニングの袋,,容器包装プラスチック類,
クリスタルガラス,,不燃ごみ,
クリスマスツリー,,不燃ごみ,長さ1.2メートル未満にする
クリップ,,資源品（金属類）（空カン用袋）,紙に包んで中身を明記する
車椅子,,資源品（金属類）,「資源品」と表示する
車のシートカバー,,不燃ごみ,
クレジットカード,,不燃ごみ,磁気部分にはさみを入れる
クレパス＝クレヨン,,可燃ごみ,
グローブ,,不燃ごみ,
グローランプ,,不燃ごみ,
鍬,,資源品（金属類）（空カン用袋）,危なくないように刃先を紙でくるむ
軍手,,可燃ごみ,


蛍光管,,有害ごみ,割れないように購入時の紙箱または袋に入れて出す
携帯カイロ,,可燃ごみ,
携帯テレビ（液晶）,,不燃ごみ,
携帯電話,,不燃ごみ,できるだけ解約時に返却する
携帯電話（充電器）,,不燃ごみ,できるだけ解約時に返却する
毛糸玉,,可燃ごみ,
"毛糸の衣類（セーター、マフラー）",,資源品（古着・古布類）,
ケージ（金属製）,,資源品（金属類）,
ケーブル,,不燃ごみ,
ゲーム（ボードゲーム等）,,不燃ごみ,
ゲームカセット,,不燃ごみ,
ゲーム機,,不燃ごみ,
"毛皮の衣類（コート、マフラー、帽子、手袋）",資源品（古着・古布類）,,
消しゴム,,不燃ごみ,
化粧品（化粧水などのビン）,,不燃ごみ,
化粧品（口紅ケース）,,不燃ごみ,
化粧品（ファンデーションケース）,,不燃ごみ,
化粧品（マニュキアのビン）,,不燃ごみ,
下駄,,不燃ごみ,
下駄箱,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
血圧計,電子血圧計等,不燃ごみ,
血圧計,水銀を使用しているもの,有害ごみ,「有害ごみ」と表示し透明な袋に入れる,
玄関マット,,不燃ごみ,
健康器具（ウォーキングマシン）,,資源品（金属類）,
剣山,,資源品（金属類）（空カン用袋）,危なくないように紙でくるむ


碁石,,不燃ごみ,
こいのぼり,布部分,不燃ごみ,
こいのぼり,ポール（金属製）,資源品（金属類）,長さ3メートル以下にする,
こいのぼり,ポール（プラスチック製）,不燃ごみ,長さ1.2メートル未満にする,
コイン・古銭,,資源品（金属類）（空カン用袋）,
"工具類（ドライバー、スパナ等）",,資源品（金属類）（空カン用袋）,
広告紙,,資源品（新聞紙）,新聞紙と一緒に束ねてよい
ゴーグル,,不燃ごみ,
コード,,不燃ごみ,
コーヒーメーカー,,不燃ごみ,
行李（柳行李など；衣装ケース）,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
氷枕,,不燃ごみ,
五月人形,,不燃ごみ,
こけし,,可燃ごみ,
ござ（小さく切ったもの）,,可燃ごみ,
ござ,,不燃ごみ,長さ1.2メートル未満にたたむ
こし器（金属製）,,資源品（金属類）（空カン用袋）,
こたつ,1辺1.2メートル未満のもの,不燃ごみ,
こたつ,1辺1.2メートル以上のもの,粗大ごみ,,
こたつ敷き,,不燃ごみ,長さ1.2メートル未満にたたむ
こたつ布団,,粗大ごみ,3枚で1点扱い
コップ,"ガラス製、プラスチック製",不燃ごみ,
コップ,使い捨て（紙製）,可燃ごみ,,
コップ,使い捨て（プラスチック製）,不燃ごみ,,
琴,,粗大ごみ,
粉チーズの容器,紙筒で底が金属製,可燃ごみ,
粉チーズの容器,プラスチック製,容器包装プラスチック類,,
コネクタ,,不燃ごみ,
コピー機,家庭用,不燃ごみ,
コピー機,業務用,収集できないごみ,廃棄物処理業者に依頼,
ごみ袋,他市,容器包装プラスチック類,「不燃ごみ」用のごみ袋として使用可
ごみ袋,炭酸カルシウム入り,容器包装プラスチック類,「不燃ごみ」用のごみ袋として使用可,
ごみ袋,黒袋,容器包装プラスチック類,集積所排出のごみ袋としては使用不可,
ゴム製品,,不燃ごみ,
ゴム手袋,,不燃ごみ,
ゴムホース,,不燃ごみ,
ゴムマット,,不燃ごみ,
米びつ（レンジ台つきのものを含む）,資源品（金属類）,,
米袋,,資源品（雑誌・ざつ紙類）,中の米は出し切る/同じような紙袋でも中身が石灰や肥料なら「可燃ごみ」
コルク,,可燃ごみ,
コルク抜き,,資源品（金属類）（空カン用袋）,危なくないように先を紙でくるむ
コルクボード,,不燃ごみ,指定袋に入る大きさならば「可燃ごみ」
ゴルフ用品,ゴルフクラブ,資源品（金属類）,
ゴルフ用品,ゴルフバッグ,不燃ごみ,,
ゴルフ用品,ゴルフボール,不燃ごみ,,
ゴルフ用品,ゴルフマット,不燃ごみ,,
コンクリートがら,収集できないごみ,,
コンポ,,不燃ごみ,
コンポスト,,不燃ごみ,
コンセント,,不燃ごみ,
コンロ,,資源品（金属類）,
サーフボード,長さ1.2メートル未満のもの,不燃ごみ,
サーフボード,長さ1.2メートル以上のもの,粗大ごみ,,
座椅子,,不燃ごみ,
在宅医療系廃棄物,,収集できないごみ,医療機関または薬局へ返却する
サイドボード,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
酒パック（中が銀色のもの）,,可燃ごみ,
刺身のトレイ,,容器包装プラスチック類,白色トレイはできるだけ回収協力店へ
座卓,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
サッカーボール,,不燃ごみ,
サッシ,アルミ枠のみ,資源品（金属類）,自己施工のみ
サッシ,ガラスのみ,不燃ごみ,自己施工のみ,
サッシ,ガラス付きアルミ枠,不燃ごみ,自己施工のみ,
雑誌,,資源品(雑誌・ざつ紙類）,
殺虫剤,市販の薬品等,収集できないごみ,廃棄物処理業者に依頼する（有料）
殺虫剤の缶（金属製）,スプレータイプ,資源品（空カン類）,使い切って穴を開ける
殺虫剤の缶（金属製）,煙をたくタイプ,資源品（空カン類）,使い切ること,
殺虫剤のビン,,不燃ごみ,中は空にする
さびた缶,,資源品（空カン類）,
さびた金属,,資源品（金属類）,
座布団,,粗大ごみ,5枚で1点扱い/長座布団でも同じ/直接搬入は枚数制限なし
サマーベッド,,資源品（金属類）,パイプとシートは分けなくてよい
皿,プラスチック製,不燃ごみ,
皿,金属製,資源品(金属類）（空き缶用袋）,,
皿,陶磁器,不燃ごみ,,
皿,紙製,可燃ごみ,,
皿,ガラス製,不燃ごみ,,
サラダ油,,可燃ごみ,固めるかボロ布・紙に吸わせる
サラダ油のボトル（プラスチック製）,,容器包装プラスチック類,中身は使い切る
ざる,"プラスチック製、竹製",不燃ごみ,
ざる,金属製,資源品（金属類）（空カン用袋）,,
三角コーナー,金属製,資源品（金属類）（空カン用袋）,
三角コーナー,プラスチック製,不燃ごみ,,
三脚,金属製,資源品（金属類）,
三脚,プラスチック製,不燃ごみ,,
サングラス,,不燃ごみ,
サンダル,,不燃ごみ,
サンバイザー,,不燃ごみ,
三輪車,金属製,資源品（金属類）,「資源品」と表示する
三輪車,プラスチック製,不燃ごみ,「不燃ごみ」と表示する,
飼育小屋,,不燃ごみ,1辺1.2メートル以上のものは「粗大ごみ」
シーツ,,資源品（古着・古布類）,
CD,,不燃ごみ,
ＣＤケース,,不燃ごみ,
CDラジカセ,,不燃ごみ,
CDプレーヤー,,不燃ごみ,
シートカバー（自動車用）,,不燃ごみ,
色紙,,可燃ごみ,
磁気マットレス,,不燃ごみ,磁気布団は「粗大ごみ」
ジグソーパズル,,可燃ごみ,
磁石,,資源品（金属類）（空カン用袋）,
下着,,資源品（古着・古布類）,
支柱,,資源ごみ,
七輪,,不燃ごみ,
漆器,,可燃ごみ,
しっぷ薬,,可燃ごみ,
"辞典、辞書",,資源品(雑誌・ざつ紙類）,ビニールカバーは外す
自転車,自転車,資源品（金属類）,サドルに「資源品」と表示する
自転車,電動自転車,資源品（金属類）,サドルに「資源品」と表示する/バッテリーは外して「有害ごみ」（車のバッテリーのように液が入っているものは不可）,
自転車部品,金属製,資源品（金属類）,"スチール製かご、リム、スポーク等"
自転車部品,金属製以外,不燃ごみ,"プラ製かご、サドル、タイヤ等",
自動車用カバー,,不燃ごみ,
自動車のシート,,粗大ごみ,個人で取り替えた場合に限る
竹刀,,不燃ごみ,
芝刈り機,手押し,資源品（金属類）,
芝刈り機,エンジン付,資源品（金属類）,燃料は抜くか使い切る,
事務用椅子,足などが金属製,資源品（金属類）,座るところは金属でなくても可
事務用椅子木製・プラスチック製,不燃ごみ,,
シャープペンシル,,不燃ごみ,
写真,,可燃ごみ,
シャベル,金属製,資源品（金属類）（空カン用袋）,
シャベル,プラスチック製,不燃ごみ,,
ジャンパー,,資源品（古着・古布類）,
しゃもじ,プラスチック製,不燃ごみ,
